Sport-Indices,Distance,Similarity,Sport_X,Sport_Y
"('Boxing', 'Shooting')",2.8385674530537703,0.2605138537306282,Boxing,Shooting
"('Boxing', 'Billiards')",3.1059033700472005,0.24355176190824585,Boxing,Billiards
"('Boxing', 'Fishing')",3.30286258312161,0.23240342462308597,Boxing,Fishing
"('Ice Hockey', 'Boxing')",0.8298286148878459,0.5464992687641909,Ice Hockey,Boxing
"('Ice Hockey', 'Football')",0.6591083562686411,0.6027333876185246,Ice Hockey,Football
"('Ice Hockey', 'Basketball')",0.44865829563971116,0.6902939105860098,Ice Hockey,Basketball
"('Ice Hockey', 'Wrestling')",1.0226272904937626,0.49440646069592026,Ice Hockey,Wrestling
"('Ice Hockey', 'Martial Arts')",0.8655180161647387,0.5360441396625423,Ice Hockey,Martial Arts
"('Ice Hockey', 'Tennis')",0.9025526297261133,0.5256096385328155,Ice Hockey,Tennis
"('Ice Hockey', 'Gymnastics')",1.530579724880685,0.39516636846805897,Ice Hockey,Gymnastics
"('Ice Hockey', 'Baseball/Softball')",0.8842240945555232,0.5307224352397923,Ice Hockey,Baseball/Softball
"('Ice Hockey', 'Soccer')",0.8653967813422979,0.5360789779429245,Ice Hockey,Soccer
"('Ice Hockey', 'Skiing: Alpine')",1.0929311073843913,0.47779881357381837,Ice Hockey,Skiing: Alpine
"('Ice Hockey', 'Water Polo')",0.8603104940002368,0.5375446750556645,Ice Hockey,Water Polo
"('Ice Hockey', 'Rugby')",0.9431497232084073,0.5146283830094485,Ice Hockey,Rugby
"('Ice Hockey', 'Lacrosse')",0.7432830187533338,0.5736303223530081,Ice Hockey,Lacrosse
"('Ice Hockey', 'Rodeo: Steer Wrestling')",1.4723508845162805,0.4044733319460242,Ice Hockey,Rodeo: Steer Wrestling
"('Ice Hockey', 'Track and Field: Pole Vault')",1.5914229874883183,0.385888372846931,Ice Hockey,Track and Field: Pole Vault
"('Ice Hockey', 'Field Hockey')",1.0806396155178153,0.480621436091962,Ice Hockey,Field Hockey
"('Ice Hockey', 'Speed Skating')",1.7295581240380113,0.36635966502909106,Ice Hockey,Speed Skating
"('Ice Hockey', 'Figure Skating')",1.655302150865269,0.37660497494574596,Ice Hockey,Figure Skating
"('Ice Hockey', 'Cycling: Distance')",1.552651420833442,0.3917495322073781,Ice Hockey,Cycling: Distance
"('Ice Hockey', 'Volleyball')",1.1728665128094553,0.46022155254582486,Ice Hockey,Volleyball
"('Ice Hockey', 'Racquetball/Squash')",1.4605179477250534,0.40641849449811185,Ice Hockey,Racquetball/Squash
"('Ice Hockey', 'Surfing')",1.5081231077835606,0.3987045121097363,Ice Hockey,Surfing
"('Ice Hockey', 'Fencing')",1.3187525702253624,0.43126636832269205,Ice Hockey,Fencing
"('Ice Hockey', 'Skiing: Freestyle')",1.6221179665181407,0.3813710949579742,Ice Hockey,Skiing: Freestyle
"('Ice Hockey', 'Team Handball')",1.3824600565519365,0.41973421432604,Ice Hockey,Team Handball
"('Ice Hockey', 'Cycling: Sprints')",1.6084031605453388,0.383376318172736,Ice Hockey,Cycling: Sprints
"('Ice Hockey', 'Bobsledding/Luge')",1.754131979222193,0.3630908059396683,Ice Hockey,Bobsledding/Luge
"('Ice Hockey', 'Ski Jumping')",1.9009913463080232,0.3447097494008937,Ice Hockey,Ski Jumping
"('Ice Hockey', 'Badminton')",1.6806963551024576,0.3730374005607134,Ice Hockey,Badminton
"('Ice Hockey', 'Skiing: Nordic')",1.7815144202072668,0.3595163817002553,Ice Hockey,Skiing: Nordic
"('Ice Hockey', 'Auto Racing')",2.0275284187815297,0.33030243210812327,Ice Hockey,Auto Racing
"('Ice Hockey', 'Track and Field: High Jump')",1.969507348064174,0.33675619649565824,Ice Hockey,Track and Field: High Jump
"('Ice Hockey', 'Track and Field: Long, Triple jumps')",1.8976765080539986,0.3451040850214067,Ice Hockey,"Track and Field: Long, Triple jumps"
"('Ice Hockey', 'Diving')",2.266907681928202,0.3060998648758197,Ice Hockey,Diving
"('Ice Hockey', 'Swimming (all strokes): Distance')",2.0524743764350606,0.32760307759499857,Ice Hockey,Swimming (all strokes): Distance
"('Ice Hockey', 'Skateboarding')",1.8458377985368342,0.35139037105844273,Ice Hockey,Skateboarding
"('Ice Hockey', 'Track and Field: Sprints')",2.1661003221917827,0.3158459613521451,Ice Hockey,Track and Field: Sprints
"('Ice Hockey', 'Rowing')",2.0529953174852285,0.32754717777415604,Ice Hockey,Rowing
"('Ice Hockey', 'Rodeo: Calf Roping')",1.7352956246447195,0.3655911964286812,Ice Hockey,Rodeo: Calf Roping
"('Ice Hockey', 'Track and Field: Distance')",2.0313215646753098,0.32988911887581673,Ice Hockey,Track and Field: Distance
"('Ice Hockey', 'Rodeo: Bull/Bareback/Bronc Riding')",2.159077649964469,0.3165480911845416,Ice Hockey,Rodeo: Bull/Bareback/Bronc Riding
"('Ice Hockey', 'Track and Field: Middle Distance')",1.9378858624722908,0.34038082036259903,Ice Hockey,Track and Field: Middle Distance
"('Ice Hockey', 'Weight-Lifting')",2.363326253249767,0.2973247091428505,Ice Hockey,Weight-Lifting
"('Ice Hockey', 'Swimming (all strokes): Sprints')",2.1196399750392176,0.320549809593791,Ice Hockey,Swimming (all strokes): Sprints
"('Ice Hockey', 'Water Skiing')",1.939577749137016,0.34018491271189344,Ice Hockey,Water Skiing
"('Ice Hockey', 'Table Tennis')",1.9607227754574867,0.33775536442971477,Ice Hockey,Table Tennis
"('Ice Hockey', 'Track and Field: Weights')",2.2214889099561184,0.310415471836475,Ice Hockey,Track and Field: Weights
"('Ice Hockey', 'Canoe/Kayak')",2.0112765419154504,0.3320850762394302,Ice Hockey,Canoe/Kayak
"('Ice Hockey', 'Horse Racing')",2.0609717518873074,0.3266936388365651,Ice Hockey,Horse Racing
"('Ice Hockey', 'Golf')",2.1585289999706054,0.31660307694161,Ice Hockey,Golf
"('Ice Hockey', 'Cheerleading')",2.543436368481874,0.2822119253769564,Ice Hockey,Cheerleading
"('Ice Hockey', 'Roller Skating')",2.2989277720971404,0.30312879489455946,Ice Hockey,Roller Skating
"('Ice Hockey', 'Equestrian')",2.485186329888175,0.2869287049086084,Ice Hockey,Equestrian
"('Ice Hockey', 'Archery')",2.590372396795824,0.27852264040700503,Ice Hockey,Archery
"('Ice Hockey', 'Curling')",2.5846416851962237,0.27896791027392737,Ice Hockey,Curling
"('Ice Hockey', 'Bowling')",2.7355530384423914,0.2676979793109747,Ice Hockey,Bowling
"('Ice Hockey', 'Shooting')",2.83107846617511,0.26102310585102284,Ice Hockey,Shooting
"('Ice Hockey', 'Billiards')",2.982143110608692,0.25112106024917435,Ice Hockey,Billiards
"('Ice Hockey', 'Fishing')",3.3125854044763754,0.23187946584478547,Ice Hockey,Fishing
"('Football', 'Boxing')",0.7895681391526452,0.5587940342263228,Football,Boxing
"('Football', 'Ice Hockey')",0.6591083562686411,0.6027333876185246,Football,Ice Hockey
"('Football', 'Basketball')",0.9565036474989727,0.5111158373143412,Football,Basketball
"('Football', 'Wrestling')",0.8589267486405429,0.5379448118282837,Football,Wrestling
"('Football', 'Martial Arts')",0.8216098732439089,0.5489649648303716,Football,Martial Arts
"('Football', 'Tennis')",1.3288502575861985,0.42939643574871905,Football,Tennis
"('Football', 'Gymnastics')",1.3905719666436076,0.4183099333353316,Football,Gymnastics
"('Football', 'Baseball/Softball')",1.1148805407599296,0.47283994567403553,Football,Baseball/Softball
"('Football', 'Soccer')",1.2557674534319574,0.4433081071715019,Football,Soccer
"('Football', 'Skiing: Alpine')",0.9562844764798252,0.5111730998343446,Football,Skiing: Alpine
"('Football', 'Water Polo')",0.9827727919926845,0.5043442214047132,Football,Water Polo
"('Football', 'Rugby')",0.7021383388966663,0.5874963139883239,Football,Rugby
"('Football', 'Lacrosse')",1.0284726310712193,0.492981756165923,Football,Lacrosse
"('Football', 'Rodeo: Steer Wrestling')",1.134168682210017,0.4685665235066892,Football,Rodeo: Steer Wrestling
"('Football', 'Track and Field: Pole Vault')",1.377314362311823,0.42064272855675194,Football,Track and Field: Pole Vault
"('Football', 'Field Hockey')",1.2624142925481223,0.44200569422398556,Football,Field Hockey
"('Football', 'Speed Skating')",1.5457567194937907,0.39281051183824206,Football,Speed Skating
"('Football', 'Figure Skating')",1.5906724211886236,0.3860001719326564,Football,Figure Skating
"('Football', 'Cycling: Distance')",1.3774595356492143,0.42061704311065357,Football,Cycling: Distance
"('Football', 'Volleyball')",1.3448201316971737,0.42647194404468164,Football,Volleyball
"('Football', 'Racquetball/Squash')",1.7623020169525048,0.36201689527897635,Football,Racquetball/Squash
"('Football', 'Surfing')",1.3458347152416756,0.42628749310540265,Football,Surfing
"('Football', 'Fencing')",1.4576206481804777,0.40689762300799326,Football,Fencing
"('Football', 'Skiing: Freestyle')",1.4738638724363209,0.40422596050734827,Football,Skiing: Freestyle
"('Football', 'Team Handball')",1.5574623552697227,0.39101259806990785,Football,Team Handball
"('Football', 'Cycling: Sprints')",1.3466127138359136,0.42614616127487875,Football,Cycling: Sprints
"('Football', 'Bobsledding/Luge')",1.4813546301999871,0.4030056759437905,Football,Bobsledding/Luge
"('Football', 'Ski Jumping')",1.6434665112446314,0.37829115509739025,Football,Ski Jumping
"('Football', 'Badminton')",1.9117030806801414,0.3434416121050403,Football,Badminton
"('Football', 'Skiing: Nordic')",1.7298826519333577,0.3663161122665034,Football,Skiing: Nordic
"('Football', 'Auto Racing')",1.9944354165427152,0.3339527693519501,Football,Auto Racing
"('Football', 'Track and Field: High Jump')",1.7893597303302808,0.3585052114743166,Football,Track and Field: High Jump
"('Football', 'Track and Field: Long, Triple jumps')",1.7687490516593856,0.36117393860619945,Football,"Track and Field: Long, Triple jumps"
"('Football', 'Diving')",1.9798878151444292,0.335583103134885,Football,Diving
"('Football', 'Swimming (all strokes): Distance')",1.9937182412733079,0.33403277109160195,Football,Swimming (all strokes): Distance
"('Football', 'Skateboarding')",1.7437324690406786,0.3644670212142224,Football,Skateboarding
"('Football', 'Track and Field: Sprints')",2.010185588300657,0.33220543075037806,Football,Track and Field: Sprints
"('Football', 'Rowing')",1.8742440294079277,0.34791757059194184,Football,Rowing
